Date,Close
2018-04-17,241.0
2018-04-18,247.0
2018-04-19,240.0
2018-04-20,241.0
2018-04-23,243.0
2018-04-24,244.0
2018-04-25,247.0
2018-04-26,254.0
2018-04-27,255.0
2018-04-30,252.0
2018-05-01,262.0
2018-05-02,269.0
2018-05-03,267.0
2018-05-04,278.0
2018-05-07,281.0
2018-05-08,280.0
2018-05-09,289.0
2018-05-10,290.0
2018-05-11,287.0
2018-05-14,286.0
2018-05-15,296.0
2018-05-16,307.0
2018-05-17,311.0
2018-05-18,308.0
2018-05-21,309.0
2018-05-22,304.0
2018-05-23,291.0
2018-05-24,289.0
2018-05-25,280.0
2018-05-29,283.0
2018-05-30,288.0
2018-05-31,283.0
2018-06-01,281.0
2018-06-04,267.0
2018-06-05,276.0
2018-06-06,272.0
2018-06-07,278.0
2018-06-08,256.0
2018-06-11,252.0
2018-06-12,249.0
2018-06-13,247.0
2018-06-14,241.0
2018-06-15,240.0
2018-06-18,244.0
2018-06-19,253.0
2018-06-20,244.0
2018-06-21,232.0
2018-06-22,243.0
2018-06-25,237.0
2018-06-26,244.0
2018-06-27,247.0
2018-06-28,244.0
2018-06-29,247.0
2018-07-02,242.0
2018-07-03,248.0
2018-07-05,253.0
2018-07-06,250.0
2018-07-09,260.0
2018-07-10,257.0
2018-07-11,244.0
2018-07-12,242.0
2018-07-13,253.0
2018-07-16,245.0
2018-07-17,248.0
2018-07-18,249.0
2018-07-19,246.0
2018-07-20,240.0
2018-07-23,236.0
2018-07-24,235.0
2018-07-25,233.0
2018-07-26,232.0
2018-07-27,232.0
2018-07-30,241.0
2018-07-31,263.0
2018-08-01,247.0
2018-08-02,245.0
2018-08-03,236.0
2018-08-06,245.0
2018-08-07,249.0
2018-08-08,247.0
2018-08-09,244.0
2018-08-10,247.0
2018-08-13,236.0
2018-08-14,237.0
2018-08-15,227.0
2018-08-16,230.0
2018-08-17,232.0
2018-08-20,234.0
2018-08-21,238.0
2018-08-22,241.0
2018-08-23,242.0
2018-08-24,251.0
2018-08-27,247.0
2018-08-28,244.0
2018-08-29,243.0
2018-08-30,235.0
2018-08-31,239.0
2018-09-04,233.0
2018-09-05,226.0
2018-09-06,208.0
2018-09-07,205.0
2018-09-10,211.0
2018-09-11,218.0
2018-09-12,227.0
2018-09-13,222.0
2018-09-14,228.0
2018-09-17,218.0
2018-09-18,224.0
2018-09-19,227.0
2018-09-20,224.0
2018-09-21,224.0
2018-09-24,220.0
2018-09-25,217.0
2018-09-26,208.0
2018-09-27,209.0
2018-09-28,207.0
2018-10-01,211.8000030517578
2018-10-02,212.0
2018-10-03,223.0
2018-10-04,220.39999389648438
2018-10-05,222.39999389648438
2018-10-08,227.39999389648438
2018-10-09,229.8000030517578
2018-10-10,200.1999969482422
2018-10-11,190.1999969482422
2018-10-12,196.0
2018-10-15,195.0
2018-10-16,201.1999969482422
2018-10-17,199.39999389648438
2018-10-18,185.60000610351562
2018-10-19,185.60000610351562
2018-10-22,184.0
2018-10-23,172.0
2018-10-24,165.39999389648438
2018-10-25,170.8000030517578
2018-10-26,172.0
2018-10-29,161.8000030517578
2018-10-30,175.8000030517578
2018-10-31,179.1999969482422
2018-11-01,169.60000610351562
2018-11-02,175.60000610351562
2018-11-05,173.8000030517578
2018-11-06,167.0
2018-11-07,171.39999389648438
2018-11-08,163.8000030517578
2018-11-09,160.60000610351562
2018-11-12,149.8000030517578
2018-11-13,143.1999969482422
2018-11-14,144.60000610351562
2018-11-15,149.8000030517578
2018-11-16,152.39999389648438
2018-11-19,153.60000610351562
2018-11-20,144.60000610351562
2018-11-21,151.39999389648438
2018-11-23,142.1999969482422
2018-11-26,145.0
2018-11-27,144.8000030517578
2018-11-28,143.60000610351562
2018-11-29,139.0
2018-11-30,133.8000030517578
2018-12-03,134.8000030517578
2018-12-04,123.80000305175781
2018-12-06,114.4000015258789
2018-12-07,113.80000305175781
2018-12-10,106.19999694824219
2018-12-11,100.80000305175781
2018-12-12,101.19999694824219
2018-12-13,98.80000305175781
2018-12-14,93.5999984741211
2018-12-17,93.80000305175781
2018-12-18,91.0
2018-12-19,84.5999984741211
2018-12-20,78.19999694824219
2018-12-21,76.19999694824219
2018-12-24,73.19999694824219
2018-12-26,79.5999984741211
2018-12-27,80.0
2018-12-28,85.0
2018-12-31,82.5999984741211
2019-01-02,88.80000305175781
2019-01-03,90.19999694824219
2019-01-04,96.5999984741211
2019-01-07,103.5999984741211
2019-01-08,105.19999694824219
2019-01-09,109.0
2019-01-10,109.0
2019-01-11,107.5999984741211
2019-01-14,98.5999984741211
2019-01-15,100.5999984741211
2019-01-16,100.0
2019-01-17,100.0
2019-01-18,102.19999694824219
2019-01-22,100.19999694824219
2019-01-23,93.19999694824219
2019-01-24,95.0
2019-01-25,101.19999694824219
2019-01-28,98.19999694824219
2019-01-29,97.5999984741211
2019-01-30,99.19999694824219
2019-01-31,98.19999694824219
2019-02-01,101.19999694824219
2019-02-04,104.19999694824219
2019-02-05,104.80000305175781
2019-02-06,105.0
2019-02-07,96.0
2019-02-08,116.80000305175781
2019-02-11,133.1999969482422
2019-02-12,135.8000030517578
2019-02-13,126.80000305175781
2019-02-14,128.39999389648438
2019-02-15,131.8000030517578
2019-02-19,131.1999969482422
2019-02-20,132.39999389648438
2019-02-21,125.19999694824219
2019-02-22,124.4000015258789
2019-02-25,121.19999694824219
2019-02-26,118.80000305175781
2019-02-27,120.4000015258789
2019-02-28,116.5999984741211
2019-03-01,118.19999694824219
2019-03-04,118.5999984741211
2019-03-05,115.0
2019-03-06,106.5999984741211
2019-03-07,105.4000015258789
2019-03-08,100.5999984741211
2019-03-11,106.19999694824219
2019-03-12,112.0
2019-03-13,113.0
2019-03-14,119.0
2019-03-15,119.5999984741211
2019-03-18,121.4000015258789
2019-03-19,117.0
2019-03-20,121.5999984741211
2019-03-21,121.4000015258789
2019-03-22,109.4000015258789
2019-03-25,106.0
2019-03-26,104.5999984741211
2019-03-27,101.80000305175781
2019-03-28,105.0
2019-03-29,102.19999694824219
2019-04-01,106.80000305175781
2019-04-02,105.5999984741211
2019-04-03,102.0
2019-04-04,102.0
2019-04-05,113.0
2019-04-08,116.4000015258789
2019-04-09,112.19999694824219
2019-04-10,116.4000015258789
2019-04-11,114.80000305175781
2019-04-12,109.80000305175781
2019-04-15,106.19999694824219
