date,NVDA,QLYS,A,NSA,MCD,NKE,MBUU,TXRH,OGS
2022-11-29,15.620232582092285,121.05000305175781,147.6737823486328,32.222618103027344,253.3086395263672,101.09120178222656,56.939998626708984,92.80838012695312,76.82972717285156
2022-11-30,16.90701675415039,123.31999969482422,151.62635803222656,33.29308319091797,256.0305480957031,104.36418151855469,57.709999084472656,94.37625122070312,78.45387268066406
2022-12-01,17.118816375732422,124.93000030517578,152.74171447753906,33.25126647949219,256.6030578613281,105.71522521972656,58.09000015258789,95.28846740722656,64.61277770996094
2022-12-02,16.86005973815918,121.86000061035156,152.3014373779297,32.766212463378906,256.6030578613281,107.0799789428711,58.40999984741211,93.34050750732422,65.72258758544922
2022-12-05,16.59431266784668,118.62999725341797,149.3957061767578,32.42332458496094,254.9042205810547,104.6176986694336,56.689998626708984,91.81066131591797,66.14666748046875
2022-12-06,15.97189998626709,116.22000122070312,148.07493591308594,31.971725463867188,255.07313537597656,103.00482177734375,56.060001373291016,91.24732971191406,68.85353088378906
2022-12-07,16.104774475097656,115.4000015258789,150.40345764160156,32.122257232666016,253.7310333251953,103.38658142089844,55.65999984741211,92.81315612792969,68.75428771972656
2022-12-08,17.152786254882812,117.73999786376953,152.89825439453125,32.498600006103516,256.5936279296875,106.27830505371094,55.66999816894531,94.34078216552734,69.53925323486328
2022-12-09,16.984941482543945,117.7300033569336,149.64028930664062,32.17243576049805,255.3265380859375,104.42684173583984,55.40999984741211,93.5196762084961,69.63851165771484
2022-12-12,17.5184383392334,119.70999908447266,151.96881103515625,32.64076614379883,259.6251525878906,106.95590209960938,56.869998931884766,93.58651733398438,71.09120178222656
2022-12-13,18.054931640625,119.93000030517578,154.24838256835938,32.925106048583984,257.428955078125,107.7003173828125,56.380001068115234,93.6056137084961,70.67613983154297
2022-12-14,17.65730857849121,117.87000274658203,151.4600372314453,32.280517578125,257.66357421875,106.36419677734375,56.43000030517578,95.51514434814453,71.17239379882812
2022-12-15,16.935985565185547,114.26000213623047,147.5955352783203,32.20417785644531,255.03565979003906,103.55836486816406,55.95000076293945,94.54129028320312,68.79036712646484
2022-12-16,16.555349349975586,113.44000244140625,146.0692901611328,31.008296966552734,249.77024841308594,101.11517333984375,55.45000076293945,92.31668090820312,67.05796813964844
2022-12-19,16.2386474609375,112.26000213623047,143.77012634277344,30.37218475341797,249.498046875,98.34751892089844,54.290000915527344,90.81768035888672,67.3918228149414
2022-12-20,16.069807052612305,113.7300033569336,144.7289276123047,30.72840690612793,250.8308563232422,98.50021362304688,53.77000045776367,91.78201293945312,67.70762634277344
2022-12-21,16.485416412353516,112.55999755859375,146.84219360351562,30.813217163085938,251.68495178222656,110.4966049194336,55.349998474121094,90.83678436279297,68.10462951660156
2022-12-22,15.324512481689453,110.79000091552734,145.78555297851562,30.62662696838379,249.44178771972656,111.3841552734375,53.29999923706055,91.40010833740234,67.5993423461914
2022-12-23,15.19163990020752,111.33999633789062,146.0007781982422,30.9743709564209,251.13116455078125,110.94515991210938,53.91999816894531,91.95386505126953,68.15876007080078
2022-12-27,14.107662200927734,110.36000061035156,146.31385803222656,30.889549255371094,250.44607543945312,112.19536590576172,53.56999969482422,89.91064453125,68.50163269042969
2022-12-28,14.022744178771973,109.4000015258789,144.88546752929688,30.30433464050293,248.8223114013672,109.73311614990234,51.75,88.12523651123047,68.14974212646484
2022-12-29,14.589208602905273,112.7300033569336,147.82057189941406,31.050704956054688,249.59193420410156,111.9949722290039,53.38999938964844,88.67899322509766,69.24150848388672
2022-12-30,14.600199699401855,112.2300033569336,146.63006591796875,30.635107040405273,247.3394012451172,111.67047882080078,53.29999923706055,86.8363037109375,68.3211898803711
2023-01-03,14.301480293273926,111.51000213623047,147.0121612548828,29.846328735351562,248.09027099609375,113.33106994628906,53.41999816894531,88.98452758789062,68.84449768066406
2023-01-04,14.73507022857666,112.08999633789062,148.6092987060547,30.96588706970215,248.1465606689453,115.67881774902344,55.22999954223633,89.4619140625,69.62950134277344
2023-01-05,14.251527786254883,101.86000061035156,149.0404052734375,30.389144897460938,246.05355834960938,115.11575317382812,55.54999923706055,89.50965881347656,68.97984313964844
2023-01-06,14.844966888427734,102.7300033569336,144.6899871826172,30.93195915222168,252.91444396972656,118.84732055664062,57.369998931884766,89.29004669189453,71.23554992675781
2023-01-09,15.613238334655762,104.95999908447266,144.4940643310547,30.948932647705078,250.8308563232422,119.1527099609375,57.31999969482422,92.82269287109375,71.16337585449219
2023-01-10,15.893974304199219,103.66999816894531,152.09747314453125,30.584224700927734,252.38885498046875,120.09752655029297,58.13999938964844,95.95435333251953,71.8220443725586
2023-01-11,15.985888481140137,105.47000122070312,154.9781494140625,32.12785339355469,252.29501342773438,122.10172271728516,58.59000015258789,96.51766967773438,72.93186950683594
2023-01-12,16.495405197143555,105.19999694824219,153.33203125,32.55192184448242,250.3052520751953,122.05400085449219,59.16999816894531,95.48651123046875,72.26416015625
2023-01-13,16.883041381835938,105.5,153.75335693359375,32.12785339355469,252.37014770507812,122.97018432617188,58.77000045776367,96.4030990600586,72.65214538574219
2023-01-17,17.685285568237305,107.16999816894531,152.26402282714844,32.713077545166016,257.26934814453125,122.2925796508789,58.56999969482422,95.80157470703125,71.21752166748047
2023-01-18,17.360586166381836,104.63999938964844,150.96087646484375,32.11936569213867,249.6952362060547,120.66062927246094,56.36000061035156,96.56539916992188,69.71971893310547
2023-01-19,16.749168395996094,104.51000213623047,149.78506469726562,32.060001373291016,247.38632202148438,118.84732055664062,56.56999969482422,93.44331359863281,69.27760314941406
2023-01-20,17.822153091430664,109.19000244140625,152.77354431152344,32.53496551513672,252.07913208007812,120.84195709228516,57.54999923706055,94.29304504394531,69.21443939208984
2023-01-23,19.174875259399414,112.22000122070312,155.8501739501953,32.577369689941406,252.74549865722656,122.43572998046875,58.93000030517578,95.49606323242188,70.6671142578125
